property_name	parent_property	path	type	description	enum	pattern	required	recommended	source	condition
analysis		analysis	array				No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
involved_persons	analysis	analysis.involved_persons	array				No	No	AuthorsDB	
authorsdb_id	involved_persons	analysis.involved_persons.authorsdb_id	string	ID from AuthorsDB			No	No	AuthorsDB	
role	involved_persons	analysis.involved_persons.role	array	Used to assign credit of author to the outputs in the Genome Note - currently also repeated in each section			Yes	No	AuthorsDB	
email	involved_persons	analysis.involved_persons.email	string				Yes	No	AuthorsDB	
corresponding	involved_persons	analysis.involved_persons.corresponding	boolean				No	No	AuthorsDB	
affiliations	involved_persons	analysis.involved_persons.affiliations	array	Array of affiliations for each author should be a list of IDs, determined by the affiliation array below			Yes	No	AuthorsDB	
name	involved_persons	analysis.involved_persons.name	string	Name of the consortia or contributing group			Conditional	No	AuthorsDB	if/then
surname	involved_persons	analysis.involved_persons.surname	string	Family name of the author			Conditional	No	AuthorsDB	if/else
middle_names	involved_persons	analysis.involved_persons.middle_names	string	Middle names of the author			No	No	AuthorsDB	if/else
given_names	involved_persons	analysis.involved_persons.given_names	string	Given names of the author (First name)			Conditional	No	AuthorsDB	if/else
gal_association	involved_persons	analysis.involved_persons.gal_association	string	GAL association if applicable - Collectors ONLY			No	No	AuthorsDB	if/else
gal_hub	involved_persons	analysis.involved_persons.gal_hub	string	GAL Hub/Institute responsible for the collection			No	Yes	AuthorsDB	if/else
orcid	involved_persons	analysis.involved_persons.orcid	string	ORCID of the author/person			Conditional	No	AuthorsDB	if/else
analysis_software	analysis	analysis.analysis_software	array	Software/Pipelines used for the analysis of the assembly set. Should be listed in the references.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
protocol_id	analysis_software	analysis.analysis_software.protocol_id	string	Link to the reference ID of the protocol - citation_key of references_schema.json			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
type	analysis_software	analysis.analysis_software.type	array	Type of Protocol			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
role	analysis_software	analysis.analysis_software.role	array				No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
version	analysis_software	analysis.analysis_software.version	string	Version of the protocol/workflow/tool/software			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
source	analysis_software	analysis.analysis_software.source	string	Source of the Protocol			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
doi	analysis_software	analysis.analysis_software.doi	string	DOI of the Protocol			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
parameters	analysis_software	analysis.analysis_software.parameters	string	Any specific parameters for the Protocol			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
notes	analysis_software	analysis.analysis_software.notes	string	Any notes or comments about the Protocol			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
sample_id	analysis	analysis.sample_id	string	Links to HAP_KEY, e.g. Haplotype_1, Primary, etc.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
assembly_role	analysis	analysis.assembly_role		Links to HAP_KEY, e.g. Haplotype_1			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
assembly	assembly_role	analysis.assembly_role.assembly	string				No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
ebp_statistics	analysis	analysis.ebp_statistics	object				No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
ebp_metric	ebp_statistics	analysis.ebp_statistics.ebp_metric	string	Derived EBP summary metric for the assembly used in the Genome Note table, for example 6.C.Q40.		^[0-9?]+\.[0-9C?]+\.Q[0-9?]+$	No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
ebp_reference_standard	ebp_statistics	analysis.ebp_statistics.ebp_reference_standard	string	EBP reference standard used as the benchmark for the table, for example 6.C.Q40 or 5.C.Q40.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
ebp_reference_standard_reason	ebp_statistics	analysis.ebp_statistics.ebp_reference_standard_reason	string	Reason this reference standard was selected, for example standard_input, manual_override, low_input_material or uli.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
ebp_reference_standard_met	ebp_statistics	analysis.ebp_statistics.ebp_reference_standard_met	boolean | null	Whether the selected assembly meets the EBP reference standard; absent or null if required metrics are missing.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
ebp_reference_standard_status	ebp_statistics	analysis.ebp_statistics.ebp_reference_standard_status		Derived status for the selected EBP reference standard.	met, not_met, unknown		No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
ebp_reference_standard_failures	ebp_statistics	analysis.ebp_statistics.ebp_reference_standard_failures	array	Derived list of failed EBP criteria, for example contig_n50_below_standard, percent_assigned_to_chromosomes_below_standard or qv_below_standard.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
ebp_reference_standard_missing_metrics	ebp_statistics	analysis.ebp_statistics.ebp_reference_standard_missing_metrics	array	Derived list of required EBP input metrics that were unavailable.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
ebp_contig_n50_benchmark_mb	ebp_statistics	analysis.ebp_statistics.ebp_contig_n50_benchmark_mb	number	Contig N50 benchmark for the selected EBP reference standard, in megabases.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
ebp_contig_n50_benchmark_label	ebp_statistics	analysis.ebp_statistics.ebp_contig_n50_benchmark_label	string	Display label for the contig N50 benchmark, for example >= 1 Mb.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
